"","geneNames","geneIDs","transcriptNames","feature","id","fc","pval","qval","de"
"149624","HMOX1","CHM13_G0037304","CHM13_T0146670","transcript","149624",3.66390335282812,0.0257803545645883,0.694876725283834,1.87338144823984
"149734","MYH9","CHM13_G0037332","CHM13_T0146780","transcript","149734",0.211035997160703,0.0422388212763064,0.713332973190502,-2.24443898933979
"149805","NCF4","CHM13_G0037354","CHM13_T0146851","transcript","149805",3.9059163610787,0.00138772802115628,0.277465400763214,1.96566105655986
"149975","NOL12","CHM13_G0037391","CHM13_T0147021","transcript","149975",0.391612335636863,0.0210679037606043,0.690797022290208,-1.35250188489511
"150424","RPS19BP1","CHM13_G0037488","CHM13_T0147470","transcript","150424",2.17987733782044,0.0468789463035391,0.736196040013307,1.12424695651735
"150435","UQCRFS1P1","CHM13_G0037493","CHM13_T0147481","transcript","150435",2.0321946529748,0.00441808826648871,0.43373805090904,1.02303859671227
"150497","SGSM3","CHM13_G0037502","CHM13_T0147543","transcript","150497",2.43822310987034,0.0473853809303243,0.738366125102804,1.28583014596479
"151139","FBLN1","CHM13_G0037671","CHM13_T0148184","transcript","151139",0.334374487782643,0.0326144598576497,0.694876725283834,-1.58046331850194
"151447","ALG12","CHM13_G0037756","CHM13_T0148490","transcript","151447",2.14783434194106,0.0452443087663423,0.728424302973333,1.10288272550375
"151617","SCO2","CHM13_G0037788","CHM13_T0148660","transcript","151617",2.48705258362056,0.0417406854326667,0.711770539077132,1.31443701070184
"152298","CAMK1","CHM13_G0037914","CHM13_T0149338","transcript","152298",0.382701684401404,0.000912233124907291,0.222077130077667,-1.38570784407117
"152401","IL17RC","CHM13_G0037924","CHM13_T0149440","transcript","152401",2.71909097372164,0.00635403074031204,0.480838015406898,1.4431244209991
"152778","RPL32","CHM13_G0038000","CHM13_T0149818","transcript","152778",0.246094191254367,0.0228794430761743,0.694876725283834,-2.02271748970169
"152782","SNORA7A","CHM13_G0038001","CHM13_T0149822","transcript","152782",3.81161732629633,0.0331271404478041,0.694876725283834,1.9304032847339
"153342","KAT2B","CHM13_G0038116","CHM13_T0150380","transcript","153342",2.12075986896183,0.0403208391909704,0.703026523866886,1.08458127552644
"154084","MLH1","CHM13_G0038297","CHM13_T0151122","transcript","154084",2.65503252201075,0.0180049626180998,0.666017849746923,1.40872953299036
"154242","PLCD1","CHM13_G0038320","CHM13_T0151278","transcript","154242",0.337591503361067,0.0218689968028447,0.694876725283834,-1.56664950071522
"154372","WDR48","CHM13_G0038345","CHM13_T0151409","transcript","154372",2.30670027041961,0.0158809669051674,0.642688049003682,1.2058305543148
"154381","GORASP1","CHM13_G0038346","CHM13_T0151418","transcript","154381",2.16619050009622,0.0177760099349169,0.663834929624502,1.11516012265953
"154465","RPSA","CHM13_G0038366","CHM13_T0151503","transcript","154465",12.1938917337935,0.0406152569377359,0.703613576485558,3.6080867367593
"154755","NKTR","CHM13_G0038421","CHM13_T0151793","transcript","154755",0.480962562826118,0.0210357847547834,0.690797022290208,-1.05600349304814
"154870","ANO10","CHM13_G0038453","CHM13_T0151908","transcript","154870",3.36618139417435,0.00552389897615313,0.474981771328796,1.75111292159496
"155085","LZTFL1","CHM13_G0038507","CHM13_T0152123","transcript","155085",2.4257963918451,0.0474855550361478,0.738366125102804,1.27845846356532
"155146","CCRL2","CHM13_G0038523","CHM13_T0152184","transcript","155146",2.65085770489457,0.0449094691618428,0.728424302973333,1.40645923001178
"155239","NBEAL2","CHM13_G0038549","CHM13_T0152277","transcript","155239",2.23881059722014,0.01622468374205,0.644878180755204,1.16273248173702
"155492","SHISA5","CHM13_G0038599","CHM13_T0152527","transcript","155492",2.92949428980107,0.0134433645844416,0.615273689684695,1.55065163783331
"155689","WDR6","CHM13_G0038625","CHM13_T0152725","transcript","155689",2.56980121091547,0.0198085976951805,0.679024781769602,1.36165676287492
"155690","WDR6","CHM13_G0038625","CHM13_T0152726","transcript","155690",2.30852043347623,0.0309496376473336,0.694876725283834,1.20696850221373
"155734","NDUFAF3","CHM13_G0038628","CHM13_T0152769","transcript","155734",3.0806512696724,0.0126264522882267,0.606751585284338,1.62323537825869
"155775","QARS1","CHM13_G0038634","CHM13_T0152810","transcript","155775",3.54416342972927,0.00707630891475874,0.501235308416122,1.82544513149556
"155932","AMT","CHM13_G0038654","CHM13_T0152965","transcript","155932",0.320253702339283,0.000101287433371455,0.131410084561256,-1.64271284573918
"156008","APEH","CHM13_G0038661","CHM13_T0153044","transcript","156008",5.52346746845296,0.014249184634082,0.628089379278922,2.46557423240248
"156027","MST1","CHM13_G0038662","CHM13_T0153063","transcript","156027",2.16457579885648,0.0485050661542161,0.738371100944288,1.11408432155726
"156176","RBM5","CHM13_G0038683","CHM13_T0153210","transcript","156176",3.70619761293721,0.00513593034818727,0.462586790665548,1.88993980732411
"156245","SEMA3B","CHM13_G0038695","CHM13_T0153281","transcript","156245",0.435148566043412,0.0210336500214645,0.690797022290208,-1.20042005277362
"156262","IFRD2","CHM13_G0038698","CHM13_T0153298","transcript","156262",3.64257427633437,0.00567708729510585,0.474981771328796,1.86495839082286
"156264","IFRD2","CHM13_G0038698","CHM13_T0153300","transcript","156264",2.87837222000042,0.0348313781057306,0.694876725283834,1.52525316790373
"156320","RASSF1","CHM13_G0038704","CHM13_T0153354","transcript","156320",2.07591535311653,0.0159057865082095,0.642688049003682,1.05374761800758
"156491","RRP9","CHM13_G0038746","CHM13_T0153527","transcript","156491",2.4900189018172,0.0121424295027797,0.596781122170961,1.31615669388148
"156622","TWF2","CHM13_G0038766","CHM13_T0153658","transcript","156622",3.30032786263551,0.00638743026637079,0.48195215796403,1.72260935244163
"156689","TNNC1","CHM13_G0038779","CHM13_T0153725","transcript","156689",0.198730324507748,0.00631026654184375,0.479849043657043,-2.33111606286889
"156694","NISCH","CHM13_G0038780","CHM13_T0153731","transcript","156694",2.38703041409774,0.00971043795137794,0.544308918457285,1.25521694848439
"156706","STAB1","CHM13_G0038781","CHM13_T0153742","transcript","156706",14.9057974135829,3.36011992814189e-05,0.131410084561256,3.8978016519574
"156762","GNL3","CHM13_G0038787","CHM13_T0153799","transcript","156762",2.98425226527028,0.00425924573349157,0.429514243697972,1.57736949486647
"157083","APPL1","CHM13_G0038862","CHM13_T0154119","transcript","157083",4.71114442088279,0.00168300947260758,0.300924361201234,2.23607755873005
"157249","ACOX2","CHM13_G0038898","CHM13_T0154286","transcript","157249",0.474216815076601,0.0105047757080688,0.5623977949102,-1.07638127517684
"157631","EOGT","CHM13_G0038995","CHM13_T0154667","transcript","157631",2.81651595532232,0.0495843068353433,0.741752485731034,1.49391164434479
"157776","FOXP1","CHM13_G0039018","CHM13_T0154812","transcript","157776",0.474858195800353,0.0349471620534842,0.694876725283834,-1.07443134093616
"157927","PDZRN3","CHM13_G0039062","CHM13_T0154963","transcript","157927",0.19672583425495,0.00603088758561865,0.479600744712344,-2.34574166851564
"158053","ZNF717","CHM13_G0039103","CHM13_T0155082","transcript","158053",0.321751657524086,0.0159214533290533,0.642688049003682,-1.63598051428717
"158089","ROBO1","CHM13_G0039118","CHM13_T0155118","transcript","158089",2.31443180266755,0.0172960704278782,0.657569162993303,1.2106580526264
"158767","NFKBIZ","CHM13_G0039328","CHM13_T0155788","transcript","158767",0.38947206768556,0.0428720214288293,0.719318929109844,-1.36040823067368
